№;Код;Наименование товаров / Наименование англ.;Упаковка;Ед.;Цена, р. за ед.
1 254;49940;Соус Барбекю порц. 25мл х 125шт дип-пот Heinz Россия (КОД 49940) (0°С);25мл х 125шт;кор;1 943,69
;;Barbecue sauce, portion pack, dip pot, 25ml*125, Heinz, Russia;;;
1 255;51547;Соус Баффало порц дип-пот 25мл x 216шт/кор Heinz Россия (КОР) (КОД 51547) (0°С);216х25мл;кор;3 631,75
;;;;;
1 256;52377;Соус брусничный порц дип-пот 25мл x125шт Heinz Россия (КОР) (КОД 52377) (+18°С);125шт х 25мл;кор;2 661,46
;;;;;
1 257;58272;Соус Бургер 1кг х6шт/кор ГОСТ Heinz Россия (А) (КОР) (КОД 58272) (0°С);6х1кг;кор;3 630,46
;;;;;
1 258;59394;Соус васаби дип-пот 25млх125/кор Heinz™ Россия (КОР) (КОД 59394) (0°С);1кг х 6шт;кор;1 602,00
;;;;;
1 259;96056;Соус горчичный 2кг пакет ГОСТ Heinz Россия (КОД 96056) (О°С);2кг х 6шт;шт;992,81
;;;;;
1 260;72171;Соус горчичный порц  25мл x 125шт дип-пот ГОСТ Heinz Россия (КОД 72171) (0°С);25мл х 125шт;кор;2 082,49
;;Mustard sauce, portion pack, dip pot, 25ml*125, Heinz, Russia;;;
1 261;46720;Соус горчичный специальный  700гр. х 7шт пакет Heinz Россия (КОД 46720) (0°С);7*700мл;шт;319,2
;;;;;
1 262;58271;Соус горчичный специальный 700гр х7шт/кор Heinz Россия (А) (КОР) (КОД 58271) (0°С);7х700гр;кор;1 752,52
;;;;;
1 263;10408;Соус гриль 1кг пакет ГОСТ Heinz Россия (КОД 10408) (О°С);1кг х 6шт;шт;750,05
;;;;;
1 264;58273;Соус Гриль 1кг х6шт/кор ГОСТ Heinz Россия (А) (КОР) (КОД 58273) (0°С);6х1кг;кор;3 630,46
;;;;;
1 265;97962;"Соус карри ""Heinz"" балк 1кг/пакет ГОСТ Россия (КОД 97962) (0°С)";6х1кг;шт;195,16
;;;;;
1 266;60357;Соус кисло-сладкий 1кг х 6шт пакет Heinz Россия (А) (КОР) (КОД 60357) (0°С);1кг х 6шт;кор;2 262,12
;;;;;
1 267;10406;Соус кисло-сладкий 1кг х 6шт пакет Heinz Россия (КОД 10406) (О°С);1кг х 6шт;шт;467,35
;;;;;
1 268;49939;Соус кисло-сладкий порц. 25мл x 125шт дип-пот Heinz Россия (КОД 49939) (0°С);1кг х 6шт;кор;1 943,69
;;Sweet & sour sauce, portion pack, dip pot, 25ml*125, Heinz, Russia;;;
1 269;96057;Соус майонезный легкий 28% 2кг х 6шт пакет ГОСТ Heinz Россия (КОД 96057) (О°С);2кг х 6шт;шт;563,93
;;;;;
1 270;30385;"Соус Пармеджано ""Heinz"" балк 6х1кг (пакет),Россия (КОД 30385) (О°С)";6*1кг;шт;543,17
;;;;;
1 271;51513;Соус Пармеджано порц дип-пот 25мл x 125шт Heinz Россия (КОД 51513) (0°С);125*25мл;кор;2 233,01
;;;;;
1 272;10407;"Соус сальса жгуче-острый ""Heinz"" балк 1кг/пакет Россия (КОД 10407) (О°С)";6*1кг;шт;467,35
;;;;;
1 273;58270;Соус сырный 1кг х6шт/кор ГОСТ Heinz Россия (А) (КОР) (КОД 58270) (0°С);6х1кг;кор;2 613,23
;;;;;
1 274;49938;Соус сырный порц. 25мл x 125шт дип-пот ГОСТ Heinz Россия (КОД 49938) (0°С);25мл х 125шт;кор;2 082,49
;;Cheese sauce, portion pack, dip pot, 25ml*125, Heinz, Russia;;;
1 275;56162;Соус Тартар порц. дип-пот 25млх125/кор ГОСТ Heinz Россия (76018149) (КОР) (КОД 56162) (0°С);125х25мл;кор;1 867,51
;;;;;
1 276;60363;Соус цезарь 2кг х 6шт пакет Heinz Россия (А) (КОР) (КОД 60363) (0°С);6 х 2кг;кор;5 226,49
;;;;;
1 277;89190;Соус чесночный 25мл x 125шт дип-пот ГОСТ Heinz Россия (КОД 89190) (0°С);125х25мл;кор;2 065,12
;;Garlic sauce, portion pack, dip pot, 25ml*125, Heinz, Russia;;;
1 278;10404;Соус чесночный Ранч 1кг х 6шт пакет ГОСТ Heinz Россия (КОД 10404) (О°С);1кг х 6шт;шт;545,33
;;;;;
;;Соусы Knorr /;;;
1 279;31125;Соус медово-горчичный 1кг пл/в Hellmann's® КДВ Тула Россия (КОД 31125) (+18°С);6х1кг;шт;448,01
;;;;;
;;Соусы Mareven Food /;;;
1 280;14640;Соус Деми Глас Mareven Food 1,8 кг (КОД 14640) (+18°С);4*1,8кг;шт;1 821,52
;;Sauce Demi Glas Mareven Food 1,8 kg;;;
;;Соусы TABASCO /;;;
1 281;22082;Соус Табаско красный перечный острый 150мл ст/б США (КОД 22082) (+18°С);12х150мл;шт;777,6
;;"Red hot pepper sauce ""Tabasko"", 12x150ml, glass, USA";;;
1 282;51377;Соус Табаско красный перечный острый 60мл ст/б США (КОД 51377) (+18°С);12х60мл;шт;375,84
;;;;;
1 283;34801;Соус Табаско красный перечный острый,148мл, ст/б, B-Sauce™, Коста-Рика (КОД 34801) (+18°С);12*148мл;шт;343,44
;;;;;
;;Соусы прочие /;;;
1 284;85576;"Аджика абхазская классическая ""Амца"" 200гр ст/б Абхазия (КОД 85576) (+18°С)";6 х 200гр;шт;180,1
;;;;;
1 285;55146;Соус Барбекю 1кг балк без коннект Ru-Chef® Русская Бакалейная Компания Россия (КОД 55146) (0°С);4х1кг;шт;226,8
;;;;;
1 286;59643;Соус Бургер на основе раст масел 30% 1кг балк ГОСТ Hi™ Эфко Россия (42008) (КОД 59643) (0°С);10х1кг;шт;329,6
;;;;;
1 287;45134;Соус ворчестер Appel 140мл/153гр ст/б Германия (КОД 45134) (+18°С);12 х140мл;шт;427,68
;;Worcester Sauce, 140ml x 12, glass, Appel, Germany;;;
1 288;59485;Соус горчичный 1кг балк 22% ГОСТ Efko Food Professional™ Эфко Россия (42003) (КОД 59485) (0°С);10х1кг;шт;311,04
;;;;;
1 289;46212;Соус горчичный 1кг/балк х4 S.U.CHEF™ Распак, Россия (КОД 46212) (0°С);4*1кг;шт;213,84
;;;;;
1 290;59638;Соус горчичный на основе раст масел 30% 1кг балк ГОСТ Hi™ Эфко Россия (42009) (КОД 59638) (0°С);10х1кг;шт;326,27
;;;;;
1 291;53820;Соус горчичный оригинальный 1кг балк ГОСТ Astoria Россия (Q1406014) (КОД 53820) (0°С);5х1кг;шт;318,38
;;;;;
1 292;49051;Соус Гриль Тейсти 1кг/балк S.U.CHEF™ Распак Россия (КОД 49051) (0°С);4х1кг;шт;343,44
;;;;;
1 293;15234;Соус Гуакамоле 500гр пл/в S.U.CHEF Россия (КОД 15234) (0°С);12х500гр;шт;285,12
;;;;;
1 294;58390;Соус для пиццы из измельч.томатов в собств.соку 2,5кг ж/б Imma® Италия (КОД 58390) (+18°С);6х2,5кг;шт;526,34
;;;;;
1 295;40823;Соус для пиццы из измельч.томатов в собств.соку 4,1кг ж/б Imma® Италия (КОД 40823) (+18°С);3х4,1кг;шт;1 145,42
;;;;;
1 296;55329;Соус карри 1кг балк Ru-Chef™ Русская бакалейная компания Россия (КОД 55329) (0°С);4х1кг;шт;274,75
;;;;;
1 297;53819;Соус майонезный сливочно-чесночный 1кг балк ГОСТ Astoria Россия (Q1406002) (КОД 53819) (0°С);5х1кг;шт;287,28
;;;;;
1 298;56455;Соус Мексиканская Сальса 1кг балк Ru-Chef™ Русская бакалейная компания Россия (КОД 56455) (0°С);4х1кг;шт;295,93
;;;;;
1 299;48537;Соус Наршараб (гранатовый) 380гр ст/бут Кинто™ Россия (КОД 48537) (+18°С);6х380гр;шт;334,37
;;"Pomegranate Sauce ""Narsharab"" , 380g, Kinto, Russia";;;
1 300;56496;Соус Песто Алла Дженовезе 135г ст\б Ponti S.P.A Италия (КОД 56496) (+18°С);12х135г;шт;269,57
;;;;;
1 301;12571;Соус Песто алла Дженовезе 185г, ст/б, ITALCARCIOFI, Италия (КОД 12571) (+18°С);12*185г;шт;259,2
;;Pesto Genovese Sauce, 12x185g, glass jar, ITALCARCIOFI, Italy;;;
1 302;58362;Соус Релиш с огурцами и горчицей 350гр ст/б Дядя Ваня™ Россия (КОД 58362) (+18°С);12х350гр;шт;154
;;;;;
1 303;51206;Соус рыбный 0,7л х12шт, Aroy-D™ Таиланд (КОД 51206) (+18°С);12*0,7л;шт;292,5
;;;;;
1 304;34421;Соус рыбный 5,4 кг пл/бут Aroy-d™ Таиланд (КОД 34421) (+18°С);4х5,4 кг;шт;1 504,44
;;;;;
1 305;56359;Соус Сацебели томатный домашний 300гр ст/бут Кинто Россия (2006) (КОД 56359) (+18°С);6х300гр;шт;114,8
;;;;;
1 306;59486;Соус сырный 1кг балк 35% ГОСТ Efko Food Professional™ Эфко Россия (42012) (КОД 59486) (0°С);10х1кг;шт;285,12
;;;;;
1 307;20013;Соус сырный 1кг/балк х4 S.U.CHEF™ Распак, Россия (КОД 20013) (0°С);4х1кг;шт;266,89
;;;;;
1 308;59645;Соус сырный на основе раст масел 35% 1кг балк ГОСТ Hi™ Эфко Россия (42006) (КОД 59645) (0°С);10х1кг;шт;300,62
;;;;;
1 309;59767;Соус сырный Чеддер 2кг пл/в Provil Греция (КОД 59767) (0°С);8х2кг;шт;1 620,00
;;;;;
1 310;48044;Соус Ткемали классический 300гр ст/бут Кинто™ Россия (КОД 48044) (+18°С);6х300гр;шт;143,86
;;;;;
;;Кетчуп /;;;
;;Кетчуп Heinz /;;;
1 311;48643;Кетчуп томатный 25мл x 125шт дип-пот ГОСТ Heinz Россия (КОД 48643) (0°С);125х25мл;кор;1 851,16
;;Tomato ketchup, portion pack, dip pot, 25 ml*125pcs, Heinz, Russia;;;
1 312;49748;Кетчуп Томатный 2кг балк с коннектором ГОСТ Heinz Россия (А) (КОД 49748) (0°С);6х2кг;шт;455,72
;;Tomato Ketchup, 2kg, packet, Heinz, Russia;;;
1 313;99358;Кетчуп Томатный 2кг балк с коннектором ГОСТ Heinz Россия (КОД 99358) (0°С);6*2кг;шт;574,43
;;;;;
1 314;58612;Кетчуп Томатный 800гр пл/бут Heinz™ Россия (А) (КОД 58612) (0°С);8х800гр;шт;170,74
;;;;;
;;Кетчуп прочий /;;;
1 315;59492;Кетчуп Томатный 1кг балк ГОСТ Efko Food Professional™ Эфко Россия (42500) (КОД 59492) (0°С);10х1кг;шт;168,48
;;;;;
1 316;55151;Кетчуп Томатный 2кг балк без коннект 1 кат ГОСТ Ru-Chef® Русская Бакалейная Компания(КОД 55151)(0°С);5х2кг;шт;294,19
;;;;;
1 317;52606;Кетчуп Томатный 2кг балк без коннектора 1-я кат ГОСТ Astoria™ Россия (КОД 52606) (0°С);3х2кг;шт;305,64
;;;;;
;;Майонез /;;;
;;Майонез Hellmann's /;;;
1 318;22065;Майонез Хеллманс Настоящий 78% 5л/4,7кг ГОСТ Юнилевер Русь Россия (КОД 22065) (0°С);2х5л;шт;1 724,29
;;"Mayonnaise ""Hellmann's"", 78% , 5L, Unilever, Russia";;;
;;Майонез SolPro /;;;
1 319;11513;Майонез SolPro™ Провансаль классический 67% 10л/9,6кг пл/вед ГОСТ Россия (11341) (КОД 11513) (О°С);1х10л;шт;1 416,55
;;;;;
1 320;93352;Майонез SolPro™ Провансаль классический 78%, пл/в, 3л/2,85кг, ГОСТ, Россия (11371)(КОД 93352) (О°С);2х2,85кг;шт;603,1
;;;;;
;;Майонез Печагин /;;;
1 321;98082;"Майонез ""Профи"" 67% 10л/9,4кг пл/в ГОСТ Печагин Россия (КОД 98082) (0°С)";1*10л;шт;1 393,56
;;"Mayonnaise ""Profi "", 67%, 10л, ""Pechagin"", Russia";;;
1 322;98083;"Майонез ""Профи"" 67% 5л/4,7кг пл/в ГОСТ Печагин Россия (КОД 98083) (0°С)";1*5л;шт;732,94
;;"Mayonnaise ""Profi "", 67%, 5л, ""Pechagin"", Russia";;;
1 323;98449;"Майонез ""Профи"" 78% 5л/4,65кг пл/в ГОСТ Печагин Россия (КОД 98449) (0°С)";4,65кг;шт;825,7
;;"Mayonnaise ""PROFI"", 78%, 5L, Pechagin, Russia";;;
;;Майонез прочий /;;;
1 324;58935;Майонез 67% 10кг пл/в ГОСТ Лужский МК Россия (КОД 58935) (0°С);10кг;шт;1 398,06
;;;;;
1 325;59480;Майонез Провансаль 67% 10л пл/в универсальный ГОСТ Efko Food Professional™ Эфко Россия (47008)(КОД 59480)(0°С);10л;шт;1 412,64
;;;;;
1 326;59479;Майонез Провансаль 78% 5л пл/в традиционный ГОСТ Efko Food Professional™ Эфко Россия (47003) (КОД 59479) (0°С);2х5л;шт;881,28
;;;;;
;;Томатная паста, соус /;;;
;;Томатная паста прочая /;;;
1 327;58552;Томатная паста 25-27% сух.вещ-ва 800гр ж/б ГОСТ Sahar™ Иран (КОД 58552) (+18°С);12х800гр;шт;168,76
;;;;;
1 328;54477;Томатная паста 25-28% сух.вещ-ва 740гр/670мл ст/б ГОСТ Green Ray® Техада Россия (КОД 54477) (+18°С);6х740гр;шт;226,8
;;;;;
1 329;24058;Томатная паста 25-28% сух.вещ-ва 770 гр х 6шт жесть ГОСТ Помидорка Россия (КОД 24058)(+18°С);770гр х 6шт;шт;290,17
;;Tomato paste Pomidorka, 770 g, tin, Russia;;;
1 330;52453;"Томатная паста 25% сух вещества ""Профессионал"" 1кг/ведро Печагин Россия (КОД 52453) (+18°С)";6х1кг;шт;237,17
;;;;;
1 331;14593;"Томатная паста 25% сух вещества ""Профессионал"" 5 кг/ведро Печагин Россия (КОД 14593) (+18°С)";5 кг;шт;1 075,68
