;;;;;;;
;;;;;;;
;;;;;;;
Код;Наименование товара;;"Страна-
производитель";"Цена за ед.
изм.";"Код 
валюты";Фасовка;"Ед. 
изм."
;;;;;;;
;Мясо;;;;;;
;Говядина премиальная;;;;;;
;Мраморная говядина зернового откорма свежемороженая;;;;;;
;Толстый край зачищенный Cube Roll зернового откорма свежемороженный;;;;;;
УТ-00011043;КАЛЬМАР командорский с/м, Россия;;Россия;375;РУБ;кор (22 кг);кг
УТ-00013180;Крабовое мясо роза в/м «Стандарт» 1 кг, 065, Колокша, Россия;;Россия;2 933;РУБ;кор (10 шт)  кор (6 шт);шт
УТ-00005231;Мидии в раковинах (голубые) в/м 40/60 1 кг Sudmaris Chile, Чили;;Чили;370;РУБ;кор (5 шт);шт
УТ-00019893;Мидии в раковинах (голубые) в/м 50/70 1 кг, ST. ANDREWS, Чили;;Чили;360;РУБ;кор (5 шт);шт
УТ-00019498;Мидии Гигант 1/2 раковины 30/40 1 кг 3300/02069 с/м, Китай;;Китай;539;РУБ;кор (12 шт);шт
УТ-00000702;Мидии очищ 200/300 1 кг в/м, Shunda, Китай;;Китай;327;РУБ;кор (10 шт);шт
УТ-00008559;Мидии очищ 200/300 вес 9,2 кг без глазури (вес нетто 10 кг) в/м (ТЕХ) Sudmaris Chile S.A, Чили;;Чили;4 535;РУБ;кор (1 шт)  кор (10 шт);шт
УТ-00016682;МОРСКОЙ ГРЕБЕШОК филе 10/20 1 кг (тех) с/м, 2100/02936, Sango, Китай;;Китай;1 740;РУБ;кор (10 шт);шт
УТ-00016476;Морской гребешок филе 10/20 Economy 1 кг с/м 2100/02936, Китай;;Китай;959;РУБ;кор (10 шт);шт
УТ-00001769;Морской коктейль (ТЕХ) 1 кг с/м, Китай;;Китай;332;РУБ;кор (10 шт);шт
УТ-00020818;Морской коктейль 1 кг (ТЕХ) с/м 3300/02098, 3300/02043, Zhoushan Longxin, Китай;;Китай;329;РУБ;кор (10 шт);шт
УТ-00019266;Осьминог 1,5-2 кг (л) с/м, DERHEM SEAFOOD, Марокко;;Марокко;1 729;РУБ;кор (12 кг);кг
УТ-00018062;Осьминог 1-2 кг с/м (ТЕХ), Shandong ocean, Китай;;Китай;1 004;РУБ;кор (20 кг);кг
УТ-00019264;Осьминог 2-3 кг (л) с/м, DERHEM SEAFOOD, Марокко;;Марокко;2 095;РУБ;кор (12 кг);кг
КР-00000024;ОСЬМИНОГ очищенный 40/60 1 кг с/м, Rizhao Huili Aquatic Products, Китай;;Китай;622;РУБ;кор (10 шт);шт
СИ-00001985;РАПАН черноморский (мясо) 1 кг в/у с/м, КРК, Россия, Россия;;Россия;458;РУБ;кор (12 кг);кг
;Икра;;;;;;
УТ-00003297;Икра лососевая зернистая ж/б 140 г, Находкинский, Россия;;Россия;688;РУБ;кор (108 шт);шт
УТ-00012887;Икра щуки ст/б 112 г, Авача, Россия;;Россия;704;РУБ;кор (12 шт);шт
;Рыба;;;;;;
;Рыба с/м тушка;;;;;;
СИ-00000278;БАРАБУЛЬКА черноморская 9-11 см в/у с/м, КМС, Россия;;Россия;700;РУБ;кор (10 кг);кг
УТ-00016161;Горбуша ПБГ с/м, Россия;;Россия;376;РУБ;кор (20 кг);кг
УТ-00008582;ДОРАДО 300-400 г н/р с/м, Турция;;Турция;669;РУБ;кор (5 кг);кг
СИ-00001492;Камбала Калкан черноморская 4+ н/р с/м, Россия;;Россия;1 206;РУБ;;кг
УТ-00012265;Кета ПБГ с/м, Россия;;Россия;526;РУБ;кор (20 кг);кг
УТ-00019430;Кижуч ПБГ 2,7-4,1 кг с/м, Antarfood, Чили;;Чили;1 011;РУБ;кор (25 кг);кг
УТ-00007894;ЛОСОСЬ (семга) ПСГ с/м 4-5 кг, Aqua Chile, Чили;;Чили;1 190;РУБ;кор (33 кг);кг
УТ-00012857;ЛОСОСЬ (семга) ПСГ с/м 6-7 кг, Чили;;Чили;1 330;РУБ;кор (25 кг);кг
УТ-00013285;Лосось (семга) ПСГ с/м 7-8 кг, Alvarez y Alvarez, Чили;;Чили;1 470;РУБ;кор (30.1 кг);кг
СИ-00000593;МИНТАЙ б/г 25+ с/м, Россия, Россия;;Россия;174;РУБ;кор (14 кг)  кор (20 кг);кг
УТ-00015416;Сибас н/р 300-400 г с/м TR 09-0036, Турция;;Турция;748;РУБ;кор (5 кг);кг
УТ-00000906;Сибас н/р 300-400 г с/м TR 48-0044, Турция;;Турция;691;РУБ;кор (5 кг);кг
УТ-00000733;Сибас Чилийский (патагонский клыкач) ПБГ 5-6 кг с/м, Аргентина;;Аргентина;4 227;РУБ;кор (28 кг);кг
СИ-00000638;СКУМБРИЯ н/р 300-600 г с/м, Россия;;Россия;289;РУБ;кор (20 кг)  кор (27 кг)  кор (30 кг);кг
УТ-00017690;Скумбрия н/р 400-600 г с/м, Фарерские острова;;Фарерские острова;374;РУБ;кор (25 кг);кг
УТ-00008202;СКУМБРИЯ ПБГ 200-300 г с/м, Атлантрыбфлот, Россия;;Россия;292;РУБ;кор (30 кг);кг
УТ-00015290;ФОРЕЛЬ радужная ПБГ 1,8 - 2,7 с/м, Турция;;Турция;900;РУБ;кор (16 кг);кг
СИ-00000784;ФОРЕЛЬ радужная ПСГ 250-300 г с/м, Турция;;Турция;674;РУБ;кор (1 кг)  кор (5 кг);кг
УТ-00012884;Форель радужная ПСГ 300-350 г с/м, Турция;;Турция;682;РУБ;кор (5 кг);кг
;Рыба с/м филе;;;;;;
СИ-00002050;ГОРБУША филе н/ш с/м, Флиппер, Россия;;Россия;518;РУБ;кор (10 кг);кг
УТ-00019672;ГОРБУША филе штучное н/ш с/м, ХЛАДПРОМ, Россия;;Россия;511;РУБ;кор (10 кг)  кор (9.5 кг);кг
УТ-00013453;МИНТАЙ филе б/ш с/м, ИП Юскаева Х.Х., Россия;;Россия;245;РУБ;;кг
СИ-00002181;МИНТАЙ филе б/ш с/м, Флиппер, Россия;;Россия;245;РУБ;кор (10 кг);кг
УТ-00009959;Минтай филе кубики б/ш с/м, Морфиш, Россия;;Россия;293;РУБ;кор (10 кг)  кор (9 кг);кг
УТ-00010942;МИНТАЙ филе н/ш с/м, ИП Юскаева Х.Х., Россия;;Россия;240;РУБ;кор (5 кг);кг
СИ-00002142;МИНТАЙ филе н/ш с/м, Флиппер, Россия;;Россия;249;РУБ;кор (10 кг);кг
СИ-00001280;Минтай филе н/ш с/м, Экор-Фиш, Россия;;Россия;250;РУБ;кор (12.6 кг);кг
УТ-00008971;Окунь филе штучное н/ш с/м, Урса Минор, Россия;;Россия;505;РУБ;кор (10 кг)  кор (8 кг);кг
УТ-00017932;Палтус филе стрелозубый 0,2-0,4 кг 10 кг/кор с/м, Dalian Huayang, Китай;;Китай;3 962;РУБ;кор (1 шт);шт
УТ-00019645;Пангасиус филе 220+ б/ш с/м DL 126, Вьетнам;;Вьетнам;278;РУБ;кор (10 кг);кг
СИ-00002361;Семга (лосось) филе н/ш с/м 1,3-1,8 кг Trim D, SALMONES BLUMAR, Чили;;Чили;1 800;РУБ;кор (15 кг);кг
СИ-00002648;Семга (лосось) филе х/к, в/у, с/м 1,8-2,0 Трим С, Россия;;Россия;1 841;РУБ;кор (10 кг);кг
УТ-00000904;ТИЛАПИЯ филе с/м 3-5 унц (5% глазури), Китай;;Китай;415;РУБ;кор (10 кг)  кор (9 кг);кг
СИ-00002177;ТРЕСКА филе б/ш с/м, ИП Юскаева Х.Х, Россия;;Россия;450;РУБ;кор (12 кг);кг
СИ-00002218;ТРЕСКА филе б/ш с/м, Флиппер, ГОСТ, Россия;;Россия;563;РУБ;кор (10 кг)  кор (9.5 кг);кг
СИ-00002180;Треска филе н/ш с/м, ГОСТ, Флиппер, Россия;;Россия;551;РУБ;кор (10 кг);кг
СИ-00002089;Треска филе н/ш с/м, ИП Юскаева Х.Х, Россия, Россия;;Россия;430;РУБ;кор (12 кг)  кор (5 кг);кг
УТ-00010013;Треска филе спинка б/ш 7 кг с/м, Морфиш, Россия;;Россия;847;РУБ;кор (10 кг)  кор (12 кг)  кор (7 кг);кг
СИ-00002600;Форель филе с/м, в/у, 0,9-1,3, Трим А, Россия;;Россия;1 307;РУБ;кор (8 кг);кг
СИ-00002623;Форель филе х/к, с/м, в/у, 0,9-1,3, Трим А, Россия, Россия;;Россия;1 324;РУБ;кор (8 кг);кг
;Готовые изделия из рыбы;;;;;;
СИ-00000008;ГОРБУША ПБГ х/к, Россия;;Россия;413;РУБ;кор (2 500 кг)  кор (2.5 кг)  кор (4 кг);кг
УТ-00002264;КРАБОВОЕ МЯСО 200 г 25 шт/кор, Columbus, Россия;;Россия;48;РУБ;кор (25 шт);шт
УТ-00001243;КРАБОВЫЕ ПАЛОЧКИ 5 кг, Columbus, Россия;;Россия;1 106;РУБ;кор (1 шт);шт
СИ-00002599;Масляная рыба филе холодного копчения в/у, с/м, 2,2-2,5, Россия;;Россия;837;РУБ;кор (10 кг);кг
УТ-00000719;"Сельдь филе ""Матиас"" оригинальное 1 кг, Санта Бремор, Беларусь";;Беларусь;424;РУБ;кор (3 шт);шт
СИ-00002615;СЕМГА (лосось) филе сл/с в/у, с/м, 1,8-2,4 Трим А, Россия, Россия;;Россия;1 672;РУБ;кор (12 кг);кг
СИ-00002295;Семга (лосось) филе х/к ломтики б/к в/у, Premium Fish, Россия;;Россия;1 779;РУБ;кор (12 кг);кг
УТ-00013639;Семга (лосось) филе х/к пласт в/у, Premium Fish, Россия;;Россия;1 735;РУБ;кор (13 кг);кг
СИ-00002598;Семга (лосось) филе х/к, в/у, с/м 1,9-2,2 Трим А, Россия;;Россия;1 723;РУБ;кор (12 кг);кг
СИ-00000289;СКУМБРИЯ ПБГ х/к, Россия;;Россия;574;РУБ;кор (2.5 кг)  кор (4 кг);кг
;;;;;;;
;Ингредиенты для японской кухни;;;;;;
;Рыбное филе;;;;;;
;Угорь с/м;;;;;;
УТ-00020593;Угорь жареный 11 унц УНАГИ BF-1 б/в (5100/02004), Chengdu Sea, Китай;;Китай;1 667;РУБ;кор (10 кг);кг
УТ-00014981;Угорь жареный 11 унц УНАГИ FS-1 б/в (4400/02152), Китай;;Китай;1 663;РУБ;кор (10 кг);кг
УТ-00020006;Угорь жареный 11 унц. УНАГИ в/у, Амарин Трейдинг, Россия;;Россия;1 267;РУБ;кор (10 кг);кг
УТ-00020592;Угорь жареный 9 унц УНАГИ BF-1 б/в (5100/02004), Chengdu Sea, Китай;;Китай;1 762;РУБ;кор (10 кг);кг
УТ-00020709;Угорь жареный 9 унц УНАГИ BF-1 в/у (5100/02004), Chengdu Sea, Китай;;Китай;1 789;РУБ;кор (10 кг);кг
УТ-00015419;Угорь жареный 9 унц УНАГИ FH-1 (тех) в/у (4400/02155), Китай;;Китай;1 541;РУБ;кор (10 кг);кг
УТ-00012236;Угорь жареный 9 унц УНАГИ FS-1 в/у (4400/02152), Китай;;Китай;1 852;РУБ;кор (10 кг);кг
УТ-00021045;Угорь жареный УНАГИ FS-1 (тех) в/у, Risma, Китай;;Китай;1 628;РУБ;кор (10 кг);кг
;Тунец с/м;;;;;;
УТ-00020617;Тунец филе Yellowfin Лойн Аками 2+ кг с/м, Fujian Ming Xing Frozen Food, Китай;;Китай;1 080;РУБ;кор (25 кг);кг
УТ-00019009;Тунец филе Yellowfin Сяку АА Аками 350-550 г с/м, Dai Viet, Вьетнам;;Вьетнам;1 256;РУБ;кор (10 кг);кг
УТ-00019012;Тунец филе Yellowfin Сяку ААА Аками 500-800 г (Т) с/м, Dai Viet, Вьетнам;;Вьетнам;1 302;РУБ;кор (10 кг);кг
УТ-00019010;Тунец филе Yellowfin Сяку ААА Аками 500-800 г с/м, Dai Viet, Вьетнам;;Вьетнам;1 428;РУБ;кор (10 кг);кг
;Морепродукты для японской кухни;;;;;;
УТ-00001141;Снежный краб розовый (палочки) 0,5 кг, VICI, Россия;;Россия;211;РУБ;кор (6 шт);шт
УТ-00000357;СНЕЖНЫЙ КРАБ розовый 0,5 кг, Санта Бремор, Беларусь;;Беларусь;216;РУБ;кор (12 шт);шт
;Икра летучей рыбы / икра капеллана;;;;;;
СИ-00001984;"Икра ""Масаго"" красная 500 г с/м, HIKARI/HANSEY, Россия";;Россия;465;РУБ;кор (12 шт);шт
УТ-00018614;Икра Масаго оранжевая 500 г с/м, HIKARI/HANSEY, Россия;;Россия;491;РУБ;кор (12 шт);шт
;Водоросли сухие и замороженные, стружка тунца;;;;;;
СИ-00002647;Водоросли сушеные Нори 230 г 100 листов, Fam Bam, Республика Корея;;Республика Корея;777;РУБ;кор (48 шт);шт
СП-00001819;ВОДОРОСЛИ сушеные Тидори для Онигири 120 г 100 листов, Triangle jimbar, Южная Корея;;Южная Корея;1 241;РУБ;кор (32 шт);шт
УТ-00011930;"ГРИБЫ древесные сушеные черный гриб ""Муэр"" 250 г, Китай";;Китай;527;РУБ;кор (10 шт);шт
УТ-00020745;Грибы сушеные Шиитаке 500 г, YAKIMAL, Россия;;Россия;836;РУБ;кор (12 шт);шт
;Имбирь и редька маринованная;;;;;;
УТ-00003890;Имбирь маринованный белый 1 кг, HIKARI, Китай;;Китай;162;РУБ;кор (10 шт);шт
СИ-00002653;Имбирь маринованный белый 1 кг/1,4 кг,LAIWU TAIFENG, Китай;;Китай;156;РУБ;кор (10 шт);шт
УТ-00020646;Имбирь маринованный розовый 1 кг, Shandong Tenghao Food, Китай;;Китай;122;РУБ;кор (10 шт);шт
;Салаты замороженные;;;;;;
СП-00000573;Салат ЧУКА Хияши Вакаме 1 кг с/м (л), ББ, Россия;;Россия;229;РУБ;кор (4 шт)  кор (6 шт);шт
УТ-00014176;Салат чука Хияши Вакаме 1 кг с/м (л), Россия;;Россия;270;РУБ;кор (10 шт);шт
